Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
620000,0.92337126,2.3060245093838376,1806.0512188020773,-0.09343436,-0.11749669370746263,-0.11749669370746263,0.12377479,0.046899755,3.9005e-06,0.13900438,0.0039065387,1.0
640000,0.9265228,2.29386675765589,1813.5175453394702,-0.09854656,-0.11678278293476523,-0.11678278293476523,0.12295528,0.046390045,3.695477e-06,0.13695414,0.003701719,1.0
660000,0.9359879,2.290234541577825,1839.9452880055567,-0.09633778,-0.11995068509036746,-0.11995068509036746,0.12564355,0.046733286,3.500724e-06,0.13500659,0.0035071585,1.0
680000,0.9418299,2.281178173150592,1837.1986923977677,-0.1028221,-0.12758473487642594,-0.12758473487642594,0.1237203,0.047257572,3.30597e-06,0.13305902,0.003312597,1.0
700000,0.9384523,2.281531914893617,1855.257913457159,-0.09959108,-0.12499589588341943,-0.12499589588341943,0.12545761,0.044590414,3.1009738e-06,0.13100906,0.0031078043,1.0
720000,0.9414024,2.268793483794332,1864.3955824276386,-0.11345737,-0.14572550650913332,-0.14572550650913332,0.12576728,0.0448944,2.895958e-06,0.12895887,0.0029029911,1.0
740000,0.94581074,2.2638500042419616,1868.9587458969943,-0.110541545,-0.13081389971659538,-0.13081389971659538,0.12866712,0.0455929,2.7012263e-06,0.12701154,0.0027084523,1.0
760000,0.9400134,2.2780898876404496,1894.8168663207784,-0.107821375,-0.1369894631329693,-0.1369894631329693,0.12453802,0.047213923,2.506463e-06,0.12506387,0.0025138815,1.0
780000,0.95384157,2.271932059447983,1906.4146143285914,-0.11629621,-0.14222240702545358,-0.14222240702545358,0.12672703,0.04813056,2.3014509e-06,0.12301375,0.0023090725,1.0
800000,0.95594895,2.2613154771995254,1915.1395177231602,-0.11780294,-0.14642450263009804,-0.14642450263009804,0.12689894,0.04747551,2.096433e-06,0.120963536,0.0021042577,1.0
