Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
6540000,0.41934672,6.235166425470333,2051.3784391965914,-0.2926703,-0.37311188494934877,-0.37311188494934877,0.09149112,0.26829174,0.041017428,0.04370535,0.124232516,9.934701e-06,1.0
6560000,0.40279156,5.151645647493079,2051.401100628175,-0.13514403,-0.12417333128268225,-0.12417333128268225,0.09698116,0.13278621,0.0447881,0.04638357,0.12366397,9.9345e-06,1.0
6580000,0.43556094,6.064994701518898,2100.558455691025,-0.24656321,-0.24887407276580714,-0.24887407276580714,0.08761528,0.2240834,0.041219242,0.041029315,0.123674944,9.934301e-06,1.0
6600000,0.4727629,6.1854114265181455,2189.709497030772,-0.31139344,-0.3829985627020397,-0.3829985627020397,0.09592778,0.29048562,0.044784106,0.044778783,0.12295197,9.9341005e-06,1.0
6620000,0.5197064,6.057163020465773,2179.559959642656,-0.4074014,-0.4922591743119266,-0.4922591743119266,0.10528089,0.3713996,0.049915243,0.049663972,0.1213173,9.9339e-06,1.0
6640000,0.53286237,5.949270326615705,2199.851967053804,-0.36229137,-0.4566647845726199,-0.4566647845726199,0.094318956,0.34043214,0.044994786,0.044679634,0.11922811,9.933701e-06,1.0
6660000,0.53211355,5.807417488941817,2199.3813788217917,-0.35256743,-0.41174719292276285,-0.41174719292276285,0.094906114,0.33440116,0.04559745,0.04524975,0.117248066,9.933499e-06,1.0
6680000,0.5225662,5.764039242219215,2217.8055330184175,-0.27776203,-0.32985876184032475,-0.32985876184032475,0.094210185,0.26086026,0.044882115,0.045348763,0.115664184,9.9333e-06,1.0
6700000,0.5138264,5.91323885240235,2234.4582234859586,-0.27458453,-0.3568743518838576,-0.3568743518838576,0.090254106,0.25758314,0.04311574,0.04312687,0.114064604,9.933101e-06,1.0
6720000,0.5086296,6.024587284861258,2235.749109072739,-0.34318063,-0.4341082718651212,-0.4341082718651212,0.09000987,0.3291104,0.04300629,0.043442287,0.11253521,9.932901e-06,1.0
