Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
440000,0.87210536,2.6135504028942607,387.9860798431148,-0.05227441,-0.08345666690580235,-0.08345666690580235,0.1144846,0.036121886,9.570113e-06,0.19570109,0.009570539,1.0
460000,0.8969601,2.6010009845749917,355.63960366887807,-0.04218732,-0.07699376275236583,-0.07699376275236583,0.11701596,0.035944656,9.550061e-06,0.19550055,0.009550505,1.0
480000,0.9325727,2.596805896805897,317.902391398764,-0.039969437,-0.07954135798070394,-0.07954135798070394,0.1196204,0.03535985,9.529992e-06,0.19529986,0.009530458,1.0
500000,0.9424083,2.6065668202764978,301.03541100321036,-0.040069595,-0.07126398781134237,-0.07126398781134237,0.11479385,0.034692883,9.5099285e-06,0.19509925,0.009510413,1.0
520000,0.95474917,2.5921719235169145,284.5390507660217,-0.055086497,-0.10336656236394322,-0.10336656236394322,0.11512148,0.037027482,9.489876e-06,0.1948987,0.00949038,1.0
540000,0.95400023,2.58489489978817,267.7134879149484,-0.062218882,-0.1070555638359835,-0.1070555638359835,0.11812204,0.037201095,9.46982e-06,0.19469815,0.009470345,1.0
560000,0.95141447,2.5994755817764665,237.88109499462004,-0.057549898,-0.09759095286378427,-0.09759095286378427,0.11613021,0.035344556,9.45002e-06,0.19450016,0.009450565,1.0
580000,0.9460059,2.592019010160603,215.61282308059532,-0.049723666,-0.08841363368821473,-0.08841363368821473,0.12103082,0.032818757,9.43022e-06,0.19430214,0.009430782,1.0
600000,0.93737,2.560424428964847,199.1712631462724,-0.057179064,-0.10874777174755876,-0.10874777174755876,0.12675384,0.03524725,9.410169e-06,0.19410165,0.009410753,1.0
620000,0.92036796,2.5170318247241323,191.8103818954163,-0.06159513,-0.10697265196333651,-0.10697265196333651,0.1386657,0.03709649,9.3901235e-06,0.19390117,0.009390727,1.0
640000,0.8995775,2.4307560937742587,172.6341634673489,-0.07025906,-0.1338146240770715,-0.1338146240770715,0.15241557,0.03449894,9.370075e-06,0.1937007,0.009370699,1.0
660000,0.87049854,2.3806662610282934,152.0783929729871,-0.10459011,-0.16648919944197238,-0.16648919944197238,0.15740731,0.037785783,9.3500275e-06,0.19350022,0.0093506705,1.0
680000,0.84210324,2.3561064087061667,128.82077266520065,-0.10365474,-0.1587666255864512,-0.1587666255864512,0.16279708,0.035698652,9.329985e-06,0.1932998,0.00933065,1.0
700000,0.8196493,2.328078524687686,89.73458984216852,-0.15170392,-0.2230368836847694,-0.2230368836847694,0.1526356,0.035527993,9.3099425e-06,0.19309936,0.0093106255,1.0
